date,block,street,trap,lat,lon,num_mos,wnv,week,s_err,s_pip,s_p/r,s_res,s_sal,s_tar,s_ter
2009-09-17,0.0631808278867,0.0448717948718,0.0408163265306,41.921965,-87.632085,1,0,0.0290322580645,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-07-12,0.09375,0.103260869565,0.09375,41.95469,-87.800991,50,0,0.0083932853717,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-08-07,0.0510204081633,0.142857142857,0.142857142857,41.974089,-87.824812,1,0,0.0444258172674,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-08-15,0.0561797752809,0.0561797752809,0.0561797752809,41.906638,-87.701431,14,1,0.10788863109,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2007-08-28,0.0664136622391,0.0738396624473,0.0738396624473,41.673408,-87.599862,50,0,0.121359223301,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2013-08-15,0.0776699029126,0.056338028169,0.056338028169,41.728495,-87.600963,40,1,0.10788863109,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-09-18,0.0,0.0,0.0,41.966987,-87.674677,1,0,0.0290322580645,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-07-31,0.0290909090909,0.0,0.0,41.947227,-87.671457,2,0,0.0267131242741,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-08-02,0.0625,0.0526315789474,0.0526315789474,41.821582,-87.627796,1,0,0.0444258172674,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-08-19,0.0294117647059,0.0980392156863,0.0980392156863,41.904194,-87.756155,9,0,0.15889212828,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-07-13,0.0277777777778,0.039603960396,0.039603960396,41.732984,-87.649642,30,0,0.0083932853717,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2013-07-25,0.0120481927711,0.0120481927711,0.0120481927711,41.754676,-87.612922,4,0,0.0267131242741,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-08-24,0.0539215686275,0.0736842105263,0.0736842105263,41.923738,-87.785288,16,0,0.121359223301,0.0,1.0,0.0,0.0,0.0,0.0,0.0
