Street,WnvPresent
  W ARMITAGE AVENUE,0.0359712230216
 E 105TH ST,0.0753424657534
 E 111TH ST,0.0434782608696
 E 115TH ST,0.0810810810811
 E 118TH ST,0.0215827338129
 E 130TH ST,0.0761904761905
 E 138TH ST,0.0625
 E 67TH ST,0.0333333333333
 E 91ST PL,0.056338028169
 E 91ST ST,0.0625
 E RANDOLPH ST,0.0
 N ASHLAND AVE,0.0227272727273
 N ASHLAND AVE OVERPASS,0.0119047619048
 N AUSTIN AVE,0.0555555555556
 N AVONDALE AVE,0.0909090909091
 N CALIFORNIA AVE,0.0
 N CAMPBELL AVE,0.0459770114943
 N CANNON DR,0.0448717948718
 N CENTRAL PARK DR,0.0630630630631
 N FRANCISCO AVE,0.0470588235294
 N HARLEM AVE,0.093023255814
 N HUMBOLDT DR,0.0561797752809
 N KEDVALE AVE,0.0294117647059
 N LARAMIE AVE,0.0980392156863
 N LAWLER AVE,0.0952380952381
 N LEMONT AVE,0.0425531914894
 N LONG AVE,0.0
 N MANDELL AVE,0.0
 N MCCLELLAN AVE,0.0333333333333
 N MILWAUKEE AVE,0.11214953271
 N MONT CLARE AVE,0.113924050633
 N MOSELL AVE,0.0708661417323
 N OAK PARK AVE,0.103260869565
 N OAKLEY AVE,0.0
 N OKETO AVE,0.0892857142857
 N PITTSBURGH AVE,0.0894308943089
 N PULASKI RD,0.062893081761
 N RICHMOND ST,0.0
 N RIDGE AVE,0.105263157895
 N RUTHERFORD AVE,0.0294117647059
 N SPRINGFIELD AVE,0.0925925925926
 N STAVE ST,0.0
 N STREETER DR,0.0
 N TRIPP AVE,0.0
 N WESTERN AVE,0.0761904761905
 S ARTESIAN AVE,0.0246913580247
 S ASHLAND AVE,0.0333333333333
 S AVENUE G,0.0
 S AVENUE L,0.0632911392405
 S BRANDON,0.0258620689655
 S CALIFORNIA,0.0194174757282
 S CALIFORNIA AVE,0.0
 S CARPENTER ST,0.039603960396
 S CENTRAL AVE,0.036231884058
 S CHICAGO AVE,0.0142857142857
 S CICERO AVE,0.0384615384615
 S CORNELL AVE,0.0
 S COTTAGE GROVE,0.0210526315789
 S DEARBORN ST,0.0526315789474
 S DOTY AVE,0.0738396624473
 S DR MARTIN LUTHER KING JR DR,0.05
 S EBERHART AVE,0.0120481927711
 S HAMLIN AVE,0.0
 S HOYNE AVE,0.0204081632653
 S KEDZIE AVE,0.051724137931
 S KILPATRICK AVE,0.05
 S KOLMAR,0.0681818181818
 S KOSTNER AVE,0.10752688172
 S LONGWOOD DR,0.0
 S MACKINAW,0.0
 S MELVINA AVE,0.0
 S MILLARD AVE,0.0240963855422
 S MUSKEGON AVE,0.0
 S NORDICA,0.0625
 S PEORIA ST,0.0454545454545
 S PULASKI RD,0.0210526315789
 S RACINE AVE,0.0
 S SOUTH SHORE DR,0.0138888888889
 S STATE ST,0.0
 S STONY ISLAND AVE,0.0512820512821
 S THROOP,0.0
 S TORRENCE AVE,0.00840336134454
 S UNION AVE,0.0813953488372
 S VINCENNES,0.0352941176471
 S WALLACE ST,0.0
 S WESTERN AVE,0.0
 W 104TH ST,0.0493827160494
 W 113TH ST,0.1
 W 116TH ST,0.0458015267176
 W 127TH PL,0.0487804878049
 W 18TH ST,0.0
 W 31ST ST,0.0416666666667
 W 37TH PL.,0.0
 W 51ST ST,0.0545454545455
 W 63RD ST,0.047619047619
 W 64TH ST,0.0540540540541
 W 65TH ST,0.12962962963
 W 69TH ST,0.0128205128205
 W 72ND ST,0.047619047619
 W 77TH ST,0.0
 W 85TH ST,0.0
 W 89TH ST,0.125
 W 95TH ST,0.0289855072464
 W ADDISON ST,0.0
 W AGATITE AVE,0.0
 W BALMORAL AVE,0.0
 W BELDEN AVE,0.0357142857143
 W CHICAGO,0.012987012987
 W FARWELL AVE,0.0
 W FOSTER AVE,0.142857142857
 W FULLERTON AVE,0.0736842105263
 W GARFIELD BLVD,0.0422535211268
 W GRAND AVE,0.0
 W GRANVILLE AVE,0.0
 W GREENLEAF AVE,0.0
 W HIGGINS AVE,0.0740740740741
 W HIGGINS RD,0.0810810810811
 W LELAND AVE,0.0
 W MONTANA ST,0.0185185185185
 W MONTROSE DR,0.0
 W OHARE,0.0763358778626
 W OHARE AIRPORT,0.0915697674419
 W PERSHING RD,0.0
 W ROOSEVELT,0.0225563909774
 W ROSCOE ST,0.153846153846
 W STRONG ST,0.153846153846
 W SUNNYSIDE AVE,0.0
 W WEBSTER AVE,0.1
